Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
10/10/22,82.686,0,82.33,0,82.508,0
10/11/22,81.09,0,80.911,0,81.09,0
10/11/22,82.33,272,82.152,120,82.33,144
10/11/22,84.654,208,84.115,114,84.115,184
10/11/22,82.864,0,82.864,0,83.043,0
10/12/22,81.442,0,80.559,0,80.559,0
10/12/22,81.975,144,81.797,63,81.975,184
10/12/22,85.374,320,85.014,232,85.194,240
10/12/22,83.935,0,83.935,0,84.115,0
10/13/22,80.911,0,80.735,0,81.09,0
10/13/22,82.508,113,82.152,400,82.508,168
10/13/22,85.194,248,85.014,320,85.014,512
10/13/22,82.864,0,82.508,0,82.686,0
10/14/22,80.206,0,80.382,0,80.735,0
10/14/22,82.152,136,81.621,208,81.797,115
10/14/22,85.915,216,85.374,448,85.374,480
10/14/22,80.911,0,80.735,0,80.911,0
10/15/22,80.029,0,79.853,0,79.853,0
10/15/22,80.735,128,80.559,73,80.559,122
10/15/22,85.374,1024,84.834,768,84.834,400
10/15/22,80.911,0,80.735,0,80.735,0
10/16/22,78.624,0,78.274,0,78.624,0
10/16/22,78.8,95,78.449,184,78.975,89
10/16/22,84.654,704,83.579,1600,85.374,992
10/16/22,81.266,0,80.911,0,81.09,0
10/17/22,78.274,0,78.098,0,78.274,0
10/17/22,78.8,128,78.449,76,78.624,82
10/17/22,86.823,1344,86.823,1152,87.004,576
10/17/22,82.686,0,82.508,0,82.864,0
10/18/22,80.206,0,80.206,0,80.559,0
10/18/22,80.559,304,79.678,224,79.853,144
10/18/22,86.097,1216,89.755,704,87.552,512
10/18/22,82.686,0,82.508,0,82.686,0
10/19/22,80.911,0,80.559,0,80.559,0
10/19/22,80.206,93,80.029,152,79.853,136
10/19/22,84.115,272,84.115,336,84.295,448
10/19/22,80.559,0,80.382,0,80.559,0
10/20/22,78.624,0,78.274,0,78.449,0
10/20/22,79.326,168,78.975,256,79.502,168
10/20/22,86.097,384,86.459,512,87.004,1792
10/20/22,81.442,0,81.09,0,81.266,0
10/21/22,80.735,0,80.559,0,80.735,0
